Topic-1,Topic-2,Correlation
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9709138-9,9711001-16,0.642
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-7,9711001-19,0.631
,,
9709138-7,9711001-19,0.631
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-7,9711001-19,0.631
,,
9709138-7,9711001-19,0.631
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-16,9711001-5,0.58
,,
9709138-7,9711001-19,0.631
,,
9709138-7,9711001-19,0.631
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-15,9711001-11,0.634
,,
9709138-9,9711001-16,0.642
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9709138-9,9711001-11,0.709
,,
9711001-16,9805191-10,0.579
,,
9711001-11,9805191-17,0.649
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-14,0.655
,,
9711001-11,9805191-12,0.657
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-19,9805191-18,0.56
,,
9711001-19,9805191-18,0.56
,,
9711001-11,9805191-17,0.649
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-14,0.655
,,
9711001-11,9805191-12,0.657
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-19,9805191-18,0.56
,,
9711001-19,9805191-18,0.56
,,
9711001-11,9805191-17,0.649
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-14,0.655
,,
9711001-11,9805191-12,0.657
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-5,9805191-7,0.554
,,
9711001-19,9805191-18,0.56
,,
9711001-19,9805191-18,0.56
,,
9711001-11,9805191-17,0.649
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-14,0.655
,,
9711001-11,9805191-12,0.657
,,
9711001-16,9805191-10,0.579
,,
9711001-11,9805191-17,0.649
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-18,0.654
,,
9711001-11,9805191-14,0.655
,,
9711001-11,9805191-12,0.657
,,
9805191-10,9912185-19,0.617
,,
9805191-17,9912185-17,0.499
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-14,9912185-13,0.609
,,
9805191-12,9912185-3,0.508
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-17,9912185-17,0.499
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-14,9912185-13,0.609
,,
9805191-12,9912185-3,0.508
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-17,9912185-17,0.499
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-14,9912185-13,0.609
,,
9805191-12,9912185-3,0.508
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-7,9912185-12,0.631
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-17,9912185-17,0.499
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-14,9912185-13,0.609
,,
9805191-12,9912185-3,0.508
,,
9805191-10,9912185-19,0.617
,,
9805191-17,9912185-17,0.499
,,
9805191-18,9912185-18,0.657
,,
9805191-18,9912185-19,0.707
,,
9805191-14,9912185-13,0.609
,,
9805191-12,9912185-3,0.508
,,
9912185-19,12145-0,0.551
,,
9912185-17,12145-8,0.59
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-13,12145-8,0.558
,,
9912185-3,12145-0,0.527
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-17,12145-8,0.59
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-13,12145-8,0.558
,,
9912185-3,12145-0,0.527
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-17,12145-8,0.59
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-13,12145-8,0.558
,,
9912185-3,12145-0,0.527
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-12,12145-10,0.658
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-17,12145-8,0.59
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-13,12145-8,0.558
,,
9912185-3,12145-0,0.527
,,
9912185-19,12145-0,0.551
,,
9912185-17,12145-8,0.59
,,
9912185-18,12145-19,0.561
,,
9912185-19,12145-0,0.551
,,
9912185-13,12145-8,0.558
,,
9912185-3,12145-0,0.527
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-0,106048-1,0.606
,,
12145-10,106048-12,0.719
,,
12145-10,106048-12,0.719
,,
12145-10,106048-15,0.832
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-0,106048-1,0.606
,,
12145-10,106048-12,0.719
,,
12145-10,106048-12,0.719
,,
12145-10,106048-15,0.832
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-0,106048-1,0.606
,,
12145-10,106048-12,0.719
,,
12145-10,106048-12,0.719
,,
12145-10,106048-15,0.832
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-0,106048-1,0.606
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-19,106048-8,0.64
,,
12145-0,106048-1,0.606
,,
12145-8,106048-15,0.654
,,
12145-0,106048-1,0.606
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-1,209131-13,0.541
,,
106048-12,209131-17,0.629
,,
106048-12,209131-17,0.629
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-1,209131-13,0.541
,,
106048-12,209131-17,0.629
,,
106048-12,209131-17,0.629
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-1,209131-13,0.541
,,
106048-12,209131-17,0.629
,,
106048-12,209131-17,0.629
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-1,209131-13,0.541
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-8,209131-11,0.603
,,
106048-1,209131-13,0.541
,,
106048-15,209131-12,0.686
,,
106048-1,209131-13,0.541
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-13,211209-16,0.712
,,
209131-17,211209-19,0.636
,,
209131-17,211209-17,0.686
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-13,211209-16,0.712
,,
209131-17,211209-19,0.636
,,
209131-17,211209-17,0.686
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-13,211209-16,0.712
,,
209131-17,211209-19,0.636
,,
209131-17,211209-17,0.686
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-13,211209-16,0.712
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-11,211209-9,0.52
,,
209131-13,211209-16,0.712
,,
209131-12,211209-17,0.575
,,
209131-13,211209-16,0.712
,,
9201036-11,9307176-15,0.67
,,
9201036-11,9307176-15,0.67
,,
9201036-11,9307176-15,0.67
,,
9201036-11,9307176-15,0.67
,,
9201036-11,9307176-15,0.67
,,
9201036-4,9307176-13,0.671
,,
9201036-4,9307176-19,0.708
,,
9201036-11,9307176-13,0.734
,,
9201036-4,9307176-15,0.775
,,
9201036-4,9307176-15,0.775
,,
9201036-4,9307176-15,0.775
,,
9201036-4,9307176-15,0.775
,,
9201036-4,9307176-15,0.775
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-13,9508030-10,0.583
,,
9307176-19,9508030-3,0.521
,,
9307176-13,9508030-10,0.583
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9307176-15,9508030-16,0.604
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-10,9610224-18,0.668
,,
9508030-3,9610224-18,0.722
,,
9508030-10,9610224-18,0.668
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9508030-16,9610224-12,0.655
,,
9610224-12,9805160-15,0.748
,,
9610224-12,9805160-19,0.76
,,
9610224-12,9805160-14,0.762
,,
9610224-12,9805160-13,0.814
,,
9610224-12,9805160-16,0.883
,,
9610224-18,9805160-14,0.652
,,
9610224-18,9805160-14,0.652
,,
9610224-18,9805160-14,0.652
,,
9610224-12,9805160-15,0.748
,,
9610224-12,9805160-19,0.76
,,
9610224-12,9805160-14,0.762
,,
9610224-12,9805160-13,0.814
,,
9610224-12,9805160-16,0.883
,,
9805160-15,212084-4,0.601
,,
9805160-19,212084-4,0.445
,,
9805160-14,212084-1,0.533
,,
9805160-13,212084-1,0.638
,,
9805160-16,212084-4,0.536
,,
9805160-14,212084-1,0.533
,,
9805160-14,212084-1,0.533
,,
9805160-14,212084-1,0.533
,,
9805160-15,212084-4,0.601
,,
9805160-19,212084-4,0.445
,,
9805160-14,212084-1,0.533
,,
9805160-13,212084-1,0.638
,,
9805160-16,212084-4,0.536
,,
9512066-19,9612114-19,0.667
,,
9512066-19,9612114-19,0.667
,,
9512066-19,9612114-19,0.667
,,
9512066-18,9612114-19,0.668
,,
9512066-18,9612114-19,0.668
,,
9512066-18,9612114-19,0.668
,,
9512066-0,9612114-7,0.681
,,
9512066-12,9612114-19,0.684
,,
9512066-12,9612114-19,0.684
,,
9512066-12,9612114-19,0.684
,,
9512066-3,9612114-9,0.693
,,
9512066-3,9612114-9,0.693
,,
9512066-3,9612114-9,0.693
,,
9512066-3,9612114-9,0.693
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-7,203020-14,0.604
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-19,203020-3,0.675
,,
9612114-9,203020-10,0.671
,,
9612114-9,203020-10,0.671
,,
9612114-9,203020-10,0.671
,,
9612114-9,203020-16,0.709
,,
203020-3,204054-16,0.624
,,
203020-3,204054-14,0.65
,,
203020-3,204054-9,0.666
,,
203020-3,204054-16,0.624
,,
203020-3,204054-14,0.65
,,
203020-3,204054-9,0.666
,,
203020-14,204054-13,0.646
,,
203020-3,204054-16,0.624
,,
203020-3,204054-14,0.65
,,
203020-3,204054-9,0.666
,,
203020-10,204054-6,0.552
,,
203020-10,204054-6,0.552
,,
203020-10,204054-6,0.552
,,
203020-16,204054-8,0.523
,,
204054-16,208074-15,0.69
,,
204054-14,208074-17,0.649
,,
204054-9,208074-13,0.729
,,
204054-16,208074-15,0.69
,,
204054-14,208074-17,0.649
,,
204054-9,208074-13,0.729
,,
204054-13,208074-2,0.674
,,
204054-16,208074-15,0.69
,,
204054-14,208074-17,0.649
,,
204054-9,208074-13,0.729
,,
204054-6,208074-16,0.742
,,
204054-6,208074-9,0.75
,,
204054-6,208074-13,0.774
,,
204054-8,208074-9,0.721
,,
208074-15,209179-13,0.702
,,
208074-17,209179-13,0.673
,,
208074-13,209179-13,0.733
,,
208074-15,209179-13,0.702
,,
208074-17,209179-13,0.673
,,
208074-13,209179-13,0.733
,,
208074-2,209179-9,0.656
,,
208074-15,209179-13,0.702
,,
208074-17,209179-13,0.673
,,
208074-13,209179-13,0.733
,,
208074-16,209179-13,0.722
,,
208074-9,209179-13,0.712
,,
208074-13,209179-13,0.733
,,
208074-9,209179-13,0.712
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-9,301009-9,0.553
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
209179-13,301009-9,0.706
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-2,9607026-3,0.607
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-3,0.621
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-0,9607026-18,0.631
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-11,9607026-18,0.636
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9311081-3,9607026-18,0.639
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-13,0.693
,,
9607026-3,9609017-13,0.693
,,
9607026-3,9609017-13,0.693
,,
9607026-3,9609017-13,0.693
,,
9607026-3,9609017-13,0.693
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-5,0.623
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-7,0.639
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
9607026-3,9609017-9,0.686
,,
